state,year,type,source,descrip,spon_names_raw,spon_names_clean,spon_total,spon_women,spon_men,prop_spon_women,spon_white,spon_black,spon_hispanic,spon_asian,spon_native,spon_islander,spon_other,spon_minority,spon_dem,spon_rep,spon_thi,spon_np,prop_spon_dem
Alabama,2012,abor_lim,SB 10,"Prohibits insurance covering abortion services, except in cases of rape, incest, or when the life of the mother is at risk.",Sen. Greg Reed [R],Sen. Greg Reed [R],1,0,1,0,,,,,,,,0,0,1,0,0,0
Arizona,2010,abor_lim,SB 1305,Prohibits coverage for abortions unless the coverage is offered as a separate optional rider for which an additional insurance premium is charged.,"Sen. Sylvia Allen [R], Sen. Frank Antenori [R], Rep. Judy Burges [R], Sen. Adam Driggs [R], Sen. David Gowan [R], Sen. Linda Gray [R], Rep. Jack Harper [R], Sen. Debbie Lesko [R], Sen. Albert Melvin [R], Rep. Steve Montenegro [R], Rep. Warde Nichols [R], Sen. Russell Pearce [R], Rep. David Stevens [R], Sen. Thayer Verschoor [R], Rep. James Weiers [R]","Sen. Sylvia Allen [R], Sen. Frank Antenori [R], Rep. Judy Burges [R], Sen. Adam Driggs [R], Sen. David Gowan [R], Sen. Linda Gray [R], Rep. Jack Harper [R], Sen. Debbie Lesko [R], Sen. Albert Melvin [R], Rep. Steve Montenegro [R], Rep. Warde Nichols [R], Sen. Russell Pearce [R], Rep. David Stevens [R], Sen. Thayer Verschoor [R], Rep. James Weiers [R]",15,4,11,0.2666666667,,,,,,,,0,0,15,0,0,0
Arizona,2015,abor_lim,SB 1318,Strengthened SB 1305’s restrictions by adding an abortion reversal counseling requirement and increasing state oversight.,"Sen. Nancy Barto [R], Sen. Sylvia Allen [R], Rep. Judy Burges [R], Sen. John Kavanagh [R], Sen. Debbie Lesko [R], Sen. Don Shooter [R], Rep. John Allen [R], Sen. Paul Boyer [R], Sen. Anthony Kern [R], Rep. Steve Montenegro [R], Rep. Justin Olson [R], Sen. Warren Petersen [R], Sen. Kelly Townsend [R], Sen. Jeff Dial [R], Sen. David Farnsworth [R], Rep. Gail Griffin [R], Sen. Catherine Miranda [D], Rep. Stephen Pierce [R], Sen. Kelli Ward [R], Sen. Bob Worsley [R], Sen. Kimberly Yee [R], Rep. Russell Bowers [R], Sen. Mark Finchem [R], Sen. Linda Gray [R], Sen. Vince Leach [R], Rep. David Livingston [R], Sen. Javan Mesnard [R], Sen. Thomas Shope [R]","Sen. Nancy Barto [R], Sen. Sylvia Allen [R], Rep. Judy Burges [R], Sen. John Kavanagh [R], Sen. Debbie Lesko [R], Sen. Don Shooter [R], Rep. John Allen [R], Sen. Paul Boyer [R], Sen. Anthony Kern [R], Rep. Steve Montenegro [R], Rep. Justin Olson [R], Sen. Warren Petersen [R], Sen. Kelly Townsend [R], Sen. Jeff Dial [R], Sen. David Farnsworth [R], Rep. Gail Griffin [R], Sen. Catherine Miranda [D], Rep. Stephen Pierce [R], Sen. Kelli Ward [R], Sen. Bob Worsley [R], Sen. Kimberly Yee [R], Rep. Russell Bowers [R], Sen. Mark Finchem [R], Sen. Linda Gray [R], Sen. Vince Leach [R], Rep. David Livingston [R], Sen. Javan Mesnard [R], Sen. Thomas Shope [R]",28,10,18,0.3571428571,,,,,,,,0,1,27,0,0,0.03571428571
Arizona,2021,contra_script,Senate Bill 1082,Mandated insurance coverage for FDA-Approved contraceptives with a prescription. ,Sen. Michelle Ugenti-Rita [R],Sen. Michelle Ugenti-Rita [R],1,1,0,1,,,,,,,,0,0,1,0,0,0
Arkansas,2011,fer_treat,SB 213,Mandates insurance coverage for diagnosis and treatment of infertility and fertility services. ,Sen. Johnny Key [R],Sen. Johnny Key [R],1,0,1,0,,,,,,,,0,0,1,0,0,0
Arkansas,2013,abor_lim,HB 1100,Marketplace Limitations:  2013,"Rep. Butch Wilkins [D], Sen. Cecile Bledsoe [R], Rep. Duncan Baird [R], Rep. David Meeks [R], Rep. Gary Deffenbaugh [R], Rep. Joe Farrer [R], Rep. Bill Gossage [R], Rep. Justin Harris [R], Rep. John Burris [R], Rep. Jody Dickinson [D], Rep. Homer Lenderman [D], Rep. Mark Lowery [R], Rep. Stephen Magie [D], Rep. Josh Miller [R], Sen. John Payton [R], Rep. James Ratliff [D], Rep. Chris Richey [D], Rep. Tommy Thompson [D], Rep. Jeff Wardlaw [R]","Rep. Butch Wilkins [D], Sen. Cecile Bledsoe [R], Rep. Duncan Baird [R], Rep. David Meeks [R], Rep. Gary Deffenbaugh [R], Rep. Joe Farrer [R], Rep. Bill Gossage [R], Rep. Justin Harris [R], Rep. John Burris [R], Rep. Jody Dickinson [D], Rep. Homer Lenderman [D], Rep. Mark Lowery [R], Rep. Stephen Magie [D], Rep. Josh Miller [R], Sen. John Payton [R], Rep. James Ratliff [D], Rep. Chris Richey [D], Rep. Tommy Thompson [D], Rep. Jeff Wardlaw [R]",19,2,17,0.1052631579,,,,,,,,0,7,12,0,0,0.3684210526
Arkansas,2023,pros_scr,House Bill 1042,Mandated annual insurance coverage for men 40+ for prostate screening.,"Rep. Fred Allen [D]	Sen. David Wallace [R]	Rep. Ken Ferguson [D]	Rep. Milton Nicks [D]
Rep. Jay Richardson [D]	Rep. Carol Dalby [R]	Rep. Lee Johnson [R]	Rep. Jim Wooten [R]
Rep. Karilyn Brown [R]","Rep. Fred Allen [D], Sen. David Wallace [R], Rep. Ken Ferguson [D], Rep. Milton Nicks [D], Rep. Jay Richardson [D], Rep. Carol Dalby [R], Rep. Lee Johnson [R], Rep. Jim Wooten [R], Rep. Karilyn Brown [R]",9,2,7,0.2222222222,,,,,,,,0,4,5,0,0,0.4444444444
California,2010,er_dys_man, Assembly Bill 97,Mandates insurance coverage for erectile dysfunction treatment.,,,0,,,0,,,,,,,,0,,,,,0
California,2016,contra_ex_sup,SB 999,Mandated insurance coverage for 12-month hormonal contraceptives.,"Sen. Fran Pavley [D], Sen. Bob Hertzberg [D], Sen. Toni Atkins [D], Asm. Jimmy Gomez [D], Asm. Lorena Gonzalez Fletcher [D], Sen. Benjamin Allen [D], Sen. Jim Beall [D], Sen. Marty Block [D], Sen. Isadore Hall [D], Sen. Jerry Hill [D], Sen. Hannah-Beth Jackson [D], Sen. Connie Leyva [D], Sen. Bob Wieckowski [D], Sen. Lois Wolk [D], Asm. Susan Bonilla [D], Asm. Autumn Burke [D], Asm. Nora Campos [D], Asm. David Chiu [D], Asm. Matt Dababneh [D], Sen. Bill Dodd [D], Sen. Susan Eggman [D], Asm. Cristina Garcia [D], Asm. Mike Gipson [D], Asm. Jacqui Irwin [D], Asm. Marc Levine [D], Asm. Kevin McCarty [D], Asm. Mark Stone [D], Asm. Shirley Weber [D], Asm. Das Williams [D]","Sen. Fran Pavley [D], Sen. Bob Hertzberg [D], Sen. Toni Atkins [D], Asm. Jimmy Gomez [D], Asm. Lorena Gonzalez Fletcher [D], Sen. Benjamin Allen [D], Sen. Jim Beall [D], Sen. Marty Block [D], Sen. Isadore Hall [D], Sen. Jerry Hill [D], Sen. Hannah-Beth Jackson [D], Sen. Connie Leyva [D], Sen. Bob Wieckowski [D], Sen. Lois Wolk [D], Asm. Susan Bonilla [D], Asm. Autumn Burke [D], Asm. Nora Campos [D], Asm. David Chiu [D], Asm. Matt Dababneh [D], Sen. Bill Dodd [D], Sen. Susan Eggman [D], Asm. Cristina Garcia [D], Asm. Mike Gipson [D], Asm. Jacqui Irwin [D], Asm. Marc Levine [D], Asm. Kevin McCarty [D], Asm. Mark Stone [D], Asm. Shirley Weber [D], Asm. Das Williams [D]",29,13,16,0.4482758621,,,,,,,,0,29,0,0,0,1
California,2018,gen_affirm_man,AB 2119,Mandated insurance coverage for gender affirming surgery.,Asm. Todd Gloria [D]	Sen. Scott Wiener [D],"Asm. Todd Gloria [D], Sen. Scott Wiener [D]",2,0,2,0,,,,,,,,0,2,0,0,0,1
California,2022,contra_no_share,SB 523,No cost sharing for over the counter FDA approved contraceptives.,"Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]","Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]",7,3,4,0.4285714286,,,,,,,,0,7,0,0,0,1
