state,year,house_women,house_all,prop_house_women,senate_women,senate_all,prop_senate_women,leg_women,leg_all,prop_leg_women,house_dem_women,house_dem_all,prop_house_dem_women,senate_dem_women,senate_dem_all,prop_senate_dem_women,leg_dem_women,leg_dem_all,prop_leg_dem_women,house_rep_women,house_rep_all,prop_house_rep_women,senate_rep_women,senate_rep_all,prop_senate_rep_women,leg_rep_women,leg_rep_all,prop_leg_rep_women,house_thi_women,house_thi_all,prop_house_thi_women,senate_thi_women,senate_thi_all,prop_senate_thi_women,leg_thi_women,leg_thi_all,prop_leg_thi_women
Alabama,2010,12,105,0.1142857143,6,35,0.1714285714,18,140,0.1285714286,9,60,0.15,5,21,0.2380952381,14,81,0.1728395062,3,45,0.06666666667,0,14,0,3,59,0.05084745763,0,0,0,1,0,0,1,0,0
Alabama,2011,14,105,0.1333333333,5,35,0.1428571429,19,140,0.1357142857,9,39,0.2307692308,4,12,0.3333333333,13,51,0.2549019608,5,66,0.07575757576,0,22,0,5,88,0.05681818182,0,0,0,1,1,1,1,1,1
Alabama,2012,13,105,0.1238095238,5,35,0.1428571429,18,140,0.1285714286,8,40,0.2,4,12,0.3333333333,12,52,0.2307692308,5,65,0.07692307692,0,22,0,5,87,0.05747126437,0,0,0,1,1,1,1,1,1
Alabama,2013,14,105,0.1333333333,5,35,0.1428571429,19,140,0.1357142857,9,39,0.2307692308,4,11,0.3636363636,13,50,0.26,5,64,0.078125,0,23,0,5,87,0.05747126437,0,2,0,1,1,1,1,3,0.3333333333
Alabama,2014,15,105,0.1428571429,5,35,0.1428571429,20,140,0.1428571429,9,37,0.2432432432,4,11,0.3636363636,13,48,0.2708333333,6,66,0.09090909091,0,23,0,6,89,0.06741573034,0,2,0,1,1,1,1,3,0.3333333333
Alabama,2015,16,105,0.1523809524,4,35,0.1142857143,20,140,0.1428571429,11,33,0.3333333333,3,8,0.375,14,41,0.3414634146,5,72,0.06944444444,0,26,0,5,98,0.05102040816,0,0,0,1,1,1,1,1,1
Alabama,2016,16,105,0.1523809524,4,35,0.1142857143,20,140,0.1428571429,11,33,0.3333333333,3,8,0.375,14,41,0.3414634146,5,72,0.06944444444,0,26,0,5,98,0.05102040816,0,0,0,1,1,1,1,1,1
Alabama,2017,17,105,0.1619047619,4,35,0.1142857143,21,140,0.15,12,32,0.375,3,8,0.375,15,40,0.375,5,72,0.06944444444,0,26,0,5,98,0.05102040816,0,1,0,1,1,1,1,2,0.5
Alabama,2018,17,105,0.1619047619,4,35,0.1142857143,21,140,0.15,12,33,0.3636363636,3,7,0.4285714286,15,40,0.375,5,70,0.07142857143,0,26,0,5,96,0.05208333333,0,2,0,1,2,0.5,1,4,0.25
Alabama,2019,19,105,0.180952381,4,35,0.1142857143,23,140,0.1642857143,11,28,0.3928571429,4,8,0.5,15,36,0.4166666667,8,77,0.1038961039,0,27,0,8,104,0.07692307692,0,0,0,0,0,0,0,0,0
Alabama,2020,18,105,0.1714285714,4,35,0.1142857143,22,140,0.1571428571,11,28,0.3928571429,4,8,0.5,15,36,0.4166666667,7,77,0.09090909091,0,27,0,7,104,0.06730769231,0,0,0,0,0,0,0,0,0
Alabama,2021,19,105,0.180952381,5,35,0.1428571429,24,140,0.1714285714,12,28,0.4285714286,4,7,0.5714285714,16,35,0.4571428571,7,77,0.09090909091,1,26,0.03846153846,8,103,0.07766990291,0,0,0,0,2,0,0,2,0
Alabama,2022,18,105,0.1714285714,5,35,0.1428571429,23,140,0.1642857143,12,28,0.4285714286,4,8,0.5,16,36,0.4444444444,6,75,0.08,1,27,0.03703703704,7,102,0.06862745098,0,2,0,0,0,0,0,2,0
Alabama,2023,20,105,0.1904761905,4,35,0.1142857143,24,140,0.1714285714,10,28,0.3571428571,3,7,0.4285714286,13,35,0.3714285714,10,77,0.1298701299,1,25,0.04,11,102,0.1078431373,0,0,0,0,3,0,0,3,0
Alabama,2024,22,105,0.2095238095,4,35,0.1142857143,26,140,0.1857142857,11,28,0.3928571429,3,8,0.375,14,36,0.3888888889,11,75,0.1466666667,1,27,0.03703703704,12,102,0.1176470588,0,2,0,0,0,0,0,2,0
Alaska,2010,9,40,0.225,3,20,0.15,12,60,0.2,3,18,0.1666666667,1,10,0.1,4,28,0.1428571429,6,22,0.2727272727,2,10,0.2,8,32,0.25,0,0,0,0,0,0,0,0,0
Alaska,2011,10,40,0.25,4,20,0.2,14,60,0.2333333333,3,16,0.1875,1,10,0.1,4,26,0.1538461538,7,24,0.2916666667,3,10,0.3,10,34,0.2941176471,0,0,0,0,0,0,0,0,0
Alaska,2012,10,40,0.25,4,20,0.2,14,60,0.2333333333,3,18,0.1666666667,1,10,0.1,4,28,0.1428571429,7,22,0.3181818182,3,10,0.3,10,32,0.3125,0,0,0,0,0,0,0,0,0
Alaska,2013,13,40,0.325,4,20,0.2,17,60,0.2833333333,3,15,0.2,1,7,0.1428571429,4,22,0.1818181818,10,25,0.4,3,13,0.2307692308,13,38,0.3421052632,0,0,0,0,0,0,0,0,0
Alaska,2014,12,40,0.3,4,20,0.2,16,60,0.2666666667,2,14,0.1428571429,1,7,0.1428571429,3,21,0.1428571429,10,26,0.3846153846,3,13,0.2307692308,13,39,0.3333333333,0,0,0,0,0,0,0,0,0
Alaska,2015,12,40,0.3,5,20,0.25,17,60,0.2833333333,2,16,0.125,1,6,0.1666666667,3,22,0.1363636364,10,23,0.4347826087,4,14,0.2857142857,14,37,0.3783783784,0,1,0,0,0,0,0,1,0
Alaska,2016,12,40,0.3,5,20,0.25,17,60,0.2833333333,2,16,0.125,1,6,0.1666666667,3,22,0.1363636364,10,23,0.4347826087,4,14,0.2857142857,14,37,0.3783783784,0,1,0,0,0,0,0,1,0
Alaska,2017,12,40,0.3,6,20,0.3,18,60,0.3,3,17,0.1764705882,1,6,0.1666666667,4,23,0.1739130435,9,21,0.4285714286,5,14,0.3571428571,14,35,0.4,0,2,0,0,0,0,0,2,0
Alaska,2018,13,40,0.325,6,20,0.3,19,60,0.3166666667,4,16,0.25,1,6,0.1666666667,5,22,0.2272727273,9,21,0.4285714286,5,14,0.3571428571,14,35,0.4,0,3,0,0,0,0,0,3,0
Alaska,2019,17,40,0.425,6,20,0.3,23,60,0.3833333333,6,19,0.3157894737,1,7,0.1428571429,7,26,0.2692307692,11,21,0.5238095238,5,13,0.3846153846,16,34,0.4705882353,0,0,0,0,0,0,0,0,0
Alaska,2020,16,40,0.4,6,20,0.3,22,60,0.3666666667,6,15,0.4,1,7,0.1428571429,7,22,0.3181818182,10,23,0.4347826087,5,13,0.3846153846,15,36,0.4166666667,0,2,0,0,0,0,0,2,0
Alaska,2021,13,40,0.325,5,20,0.25,18,60,0.3,7,15,0.4666666667,1,7,0.1428571429,8,22,0.3636363636,6,21,0.2857142857,4,13,0.3076923077,10,34,0.2941176471,0,4,0,0,0,0,0,4,0
Alaska,2022,13,40,0.325,5,20,0.25,18,60,0.3,7,15,0.4666666667,1,7,0.1428571429,8,22,0.3636363636,6,21,0.2857142857,4,13,0.3076923077,10,34,0.2941176471,0,4,0,0,0,0,0,4,0
Alaska,2023,15,40,0.375,5,20,0.25,20,60,0.3333333333,7,13,0.5384615385,2,9,0.2222222222,9,22,0.4090909091,6,21,0.2857142857,3,11,0.2727272727,9,32,0.28125,2,6,0.3333333333,0,0,0,2,6,0.3333333333
Alaska,2024,15,40,0.375,5,20,0.25,20,60,0.3333333333,7,13,0.5384615385,2,9,0.2222222222,9,22,0.4090909091,6,22,0.2727272727,3,11,0.2727272727,9,33,0.2727272727,2,5,0.4,0,0,0,2,5,0.4
Arizona,2010,18,60,0.3,12,30,0.4,30,90,0.3333333333,9,25,0.36,7,12,0.5833333333,16,37,0.4324324324,9,35,0.2571428571,5,18,0.2777777778,14,53,0.2641509434,0,0,0,0,0,0,0,0,0
Arizona,2011,20,60,0.3333333333,11,30,0.3666666667,31,90,0.3444444444,7,20,0.35,5,9,0.5555555556,12,29,0.4137931034,13,40,0.325,6,21,0.2857142857,19,61,0.3114754098,0,0,0,0,0,0,0,0,0
Arizona,2012,19,60,0.3166666667,11,30,0.3666666667,30,90,0.3333333333,7,20,0.35,5,9,0.5555555556,12,29,0.4137931034,12,40,0.3,6,21,0.2857142857,18,61,0.2950819672,0,0,0,0,0,0,0,0,0
Arizona,2013,19,60,0.3166666667,13,30,0.4333333333,32,90,0.3555555556,11,24,0.4583333333,7,13,0.5384615385,18,37,0.4864864865,8,36,0.2222222222,6,17,0.3529411765,14,53,0.2641509434,0,0,0,0,0,0,0,0,0
Arizona,2014,19,60,0.3166666667,13,30,0.4333333333,32,90,0.3555555556,11,24,0.4583333333,7,12,0.5833333333,18,36,0.5,8,36,0.2222222222,6,17,0.3529411765,14,53,0.2641509434,0,0,0,0,1,0,0,1,0
Arizona,2015,20,60,0.3333333333,13,30,0.4333333333,33,90,0.3666666667,12,22,0.5454545455,6,13,0.4615384615,18,35,0.5142857143,8,38,0.2105263158,7,17,0.4117647059,15,55,0.2727272727,0,0,0,0,0,0,0,0,0
Arizona,2016,19,60,0.3166666667,13,30,0.4333333333,32,90,0.3555555556,11,24,0.4583333333,6,13,0.4615384615,17,37,0.4594594595,8,36,0.2222222222,7,17,0.4117647059,15,53,0.2830188679,0,0,0,0,0,0,0,0,0
Arizona,2017,22,60,0.3666666667,14,30,0.4666666667,36,90,0.4,13,25,0.52,6,13,0.4615384615,19,38,0.5,9,35,0.2571428571,8,17,0.4705882353,17,52,0.3269230769,0,0,0,0,0,0,0,0,0
Arizona,2018,22,60,0.3666666667,14,30,0.4666666667,36,90,0.4,13,25,0.52,6,13,0.4615384615,19,38,0.5,9,35,0.2571428571,8,16,0.5,17,51,0.3333333333,0,0,0,0,1,0,0,1,0
Arizona,2019,22,60,0.3666666667,13,30,0.4333333333,35,90,0.3888888889,14,29,0.4827586207,7,13,0.5384615385,21,42,0.5,8,31,0.2580645161,6,17,0.3529411765,14,48,0.2916666667,0,0,0,0,0,0,0,0,0
Arizona,2020,22,60,0.3666666667,13,30,0.4333333333,35,90,0.3888888889,14,29,0.4827586207,7,13,0.5384615385,21,42,0.5,8,31,0.2580645161,6,17,0.3529411765,14,48,0.2916666667,0,0,0,0,0,0,0,0,0
Arizona,2021,23,60,0.3833333333,15,30,0.5,38,90,0.4222222222,13,28,0.4642857143,9,14,0.6428571429,22,42,0.5238095238,10,31,0.3225806452,6,16,0.375,16,47,0.3404255319,0,1,0,0,0,0,0,1,0
Arizona,2022,23,60,0.3833333333,16,30,0.5333333333,39,90,0.4333333333,13,29,0.4482758621,10,14,0.7142857143,23,43,0.5348837209,10,31,0.3225806452,6,16,0.375,16,47,0.3404255319,0,0,0,0,0,0,0,0,0
Arizona,2023,29,60,0.4833333333,16,30,0.5333333333,45,90,0.5,20,29,0.6896551724,11,14,0.7857142857,31,43,0.7209302326,9,31,0.2903225806,5,16,0.3125,14,47,0.2978723404,0,0,0,0,0,0,0,0,0
Arizona,2024,29,60,0.4833333333,16,30,0.5333333333,45,90,0.5,20,29,0.6896551724,11,14,0.7857142857,31,43,0.7209302326,9,31,0.2903225806,5,16,0.3125,14,47,0.2978723404,0,0,0,0,0,0,0,0,0
Arkansas,2010,25,100,0.25,6,35,0.1714285714,31,135,0.2296296296,16,71,0.2253521127,4,27,0.1481481481,20,98,0.2040816327,9,28,0.3214285714,2,8,0.25,11,36,0.3055555556,0,1,0,0,0,0,0,1,0
Arkansas,2011,22,100,0.22,8,35,0.2285714286,30,135,0.2222222222,11,55,0.2,5,20,0.25,16,75,0.2133333333,11,44,0.25,3,15,0.2,14,59,0.2372881356,0,1,0,0,0,0,0,1,0
Arkansas,2012,22,100,0.22,8,35,0.2285714286,30,135,0.2222222222,11,55,0.2,5,20,0.25,16,75,0.2133333333,11,45,0.2444444444,3,15,0.2,14,60,0.2333333333,0,0,0,0,0,0,0,0,0
Arkansas,2013,17,100,0.17,6,35,0.1714285714,23,135,0.1703703704,7,48,0.1458333333,3,14,0.2142857143,10,62,0.1612903226,10,51,0.1960784314,3,21,0.1428571429,13,72,0.1805555556,0,1,0,0,0,0,0,1,0
Arkansas,2014,17,100,0.17,6,35,0.1714285714,23,135,0.1703703704,7,48,0.1458333333,3,13,0.2307692308,10,61,0.1639344262,10,51,0.1960784314,3,22,0.1363636364,13,73,0.1780821918,0,1,0,0,0,0,0,1,0
Arkansas,2015,20,100,0.2,7,35,0.2,27,135,0.2,6,36,0.1666666667,3,11,0.2727272727,9,47,0.1914893617,14,64,0.21875,4,24,0.1666666667,18,88,0.2045454545,0,0,0,0,0,0,0,0,0
Arkansas,2016,19,100,0.19,7,35,0.2,26,135,0.1925925926,5,36,0.1388888889,3,11,0.2727272727,8,47,0.170212766,14,64,0.21875,4,24,0.1666666667,18,88,0.2045454545,0,0,0,0,0,0,0,0,0
Arkansas,2017,18,100,0.18,7,35,0.2,25,135,0.1851851852,3,24,0.125,3,9,0.3333333333,6,33,0.1818181818,15,76,0.1973684211,4,26,0.1538461538,19,102,0.1862745098,0,0,0,0,0,0,0,0,0
Arkansas,2018,18,100,0.18,8,35,0.2285714286,26,135,0.1925925926,3,24,0.125,3,9,0.3333333333,6,33,0.1818181818,15,75,0.2,5,24,0.2083333333,20,99,0.202020202,0,1,0,0,2,0,0,3,0
Arkansas,2019,26,100,0.26,7,35,0.2,33,135,0.2444444444,9,24,0.375,3,9,0.3333333333,12,33,0.3636363636,17,76,0.2236842105,4,26,0.1538461538,21,102,0.2058823529,0,0,0,0,0,0,0,0,0
Arkansas,2020,28,100,0.28,7,35,0.2,35,135,0.2592592593,10,24,0.4166666667,3,9,0.3333333333,13,33,0.3939393939,18,76,0.2368421053,4,26,0.1538461538,22,102,0.2156862745,0,0,0,0,0,0,0,0,0
Arkansas,2021,24,100,0.24,7,35,0.2,31,135,0.2296296296,10,22,0.4545454545,3,7,0.4285714286,13,29,0.4482758621,14,78,0.1794871795,4,27,0.1481481481,18,105,0.1714285714,0,0,0,0,1,0,0,1,0
Arkansas,2022,24,100,0.24,7,35,0.2,31,135,0.2296296296,10,22,0.4545454545,3,7,0.4285714286,13,29,0.4482758621,14,78,0.1794871795,4,26,0.1538461538,18,104,0.1730769231,0,0,0,0,2,0,0,2,0
Arkansas,2023,26,100,0.26,5,35,0.1428571429,31,135,0.2296296296,10,18,0.5555555556,2,6,0.3333333333,12,24,0.5,16,82,0.1951219512,3,29,0.1034482759,19,111,0.1711711712,0,0,0,0,0,0,0,0,0
Arkansas,2024,26,100,0.26,5,35,0.1428571429,31,135,0.2296296296,10,18,0.5555555556,2,6,0.3333333333,12,24,0.5,16,82,0.1951219512,3,29,0.1034482759,19,111,0.1711711712,0,0,0,0,0,0,0,0,0
California,2010,19,80,0.2375,12,40,0.3,31,120,0.2583333333,15,49,0.306122449,11,25,0.44,26,74,0.3513513514,4,29,0.1379310345,1,14,0.07142857143,5,43,0.1162790698,0,2,0,0,1,0,0,3,0
California,2011,21,80,0.2625,12,40,0.3,33,120,0.275,15,52,0.2884615385,9,25,0.36,24,77,0.3116883117,6,28,0.2142857143,3,15,0.2,9,43,0.2093023256,0,0,0,0,0,0,0,0,0
California,2012,21,80,0.2625,12,40,0.3,33,120,0.275,15,52,0.2884615385,9,25,0.36,24,77,0.3116883117,6,28,0.2142857143,3,15,0.2,9,43,0.2093023256,0,0,0,0,0,0,0,0,0
California,2013,20,80,0.25,12,40,0.3,32,120,0.2666666667,13,54,0.2407407407,10,26,0.3846153846,23,80,0.2875,7,26,0.2692307692,2,12,0.1666666667,9,38,0.2368421053,0,0,0,0,2,0,0,2,0
California,2014,20,80,0.25,12,40,0.3,32,120,0.2666666667,13,55,0.2363636364,10,28,0.3571428571,23,83,0.2771084337,7,25,0.28,2,11,0.1818181818,9,36,0.25,0,0,0,0,1,0,0,1,0
California,2015,19,80,0.2375,12,40,0.3,31,120,0.2583333333,11,52,0.2115384615,8,25,0.32,19,77,0.2467532468,8,28,0.2857142857,4,14,0.2857142857,12,42,0.2857142857,0,0,0,0,1,0,0,1,0
